"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RGS12",4.30336226493657e-38,6.39223526826217,0.277,0.41,1.29100867948097e-34
"PLAG1",5.30498832184392e-38,1.02139771209596,0.173,0.277,1.59149649655317e-34
"OPN3",5.36320167053658e-38,2.61741460168462,0.279,0.401,1.60896050116097e-34
"RRAGB",5.45726296953676e-38,1.08410609900142,0.222,0.348,1.63717889086103e-34
"TBX21",5.52939464909208e-38,4.13823661463538,0.282,0.365,1.65881839472762e-34
"FCHO2",6.40296691437333e-38,2.30246606968395,0.137,0.183,1.920890074312e-34
"ZFP69",6.75724274763327e-38,-0.255797748840491,0.362,0.495,2.02717282428998e-34
"TXNDC16",9.09938838561485e-38,0.740782608264969,0.189,0.242,2.72981651568445e-34
"OGFOD1",9.13553292497912e-38,-0.746568662750095,0.222,0.358,2.74065987749373e-34
"CDR2",9.58674582722756e-38,3.47057122155647,0.251,0.364,2.87602374816827e-34
"ACOT7",9.88915505075911e-38,2.30307507881802,0.29,0.383,2.96674651522773e-34
"BPGM",9.99358525287367e-38,5.6884991964846,0.276,0.381,2.9980755758621e-34
"PLEKHG2",1.02945130117815e-37,7.19766350504825,0.225,0.287,3.08835390353446e-34
"MAP4K3",1.03401367701932e-37,1.30382288501661,0.222,0.299,3.10204103105797e-34
"KLF8",1.06132413931577e-37,0.925975163001054,0.212,0.262,3.1839724179473e-34
"RAPH1",1.06240001341123e-37,4.14226202330222,0.076,0.101,3.1872000402337e-34
"TIGAR",1.11277339589097e-37,8.77000763204108,0.291,0.422,3.3383201876729e-34
"IGSF9B",1.13408232286474e-37,2.53042633744101,0.294,0.414,3.40224696859422e-34
"NUP37",1.27166221239452e-37,1.48255209278001,0.306,0.42,3.81498663718356e-34
"KYAT3",1.28377089308882e-37,3.27618698753588,0.251,0.38,3.85131267926646e-34
"VIPR1",1.33913939213817e-37,7.32962355373518,0.353,0.433,4.01741817641452e-34
"BCL6",1.45709687478357e-37,-0.58105346256798,0.176,0.185,4.3712906243507e-34
"LOC106995143",1.86489430036505e-37,-1.27127493120182,0.383,0.511,5.59468290109516e-34
"PLXND1",2.03012644101164e-37,0.780651739861663,0.164,0.2,6.09037932303492e-34
"MAP3K21",2.18011000209681e-37,5.6196321215497,0.175,0.272,6.54033000629044e-34
"ENPP4",2.53077980456479e-37,5.31851819697489,0.275,0.414,7.59233941369437e-34
"SOCS6",2.87204101380589e-37,0.554355778116212,0.193,0.309,8.61612304141767e-34
"LOC710887",2.97971245337155e-37,1.7282329491765,0.276,0.393,8.93913736011464e-34
"LOC699110",3.37367391267605e-37,5.51855952062893,0.233,0.363,1.01210217380282e-33
