Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LY96	LY96	0.02588570770660712E0	0.04663213737585183E0	1.005518968900423E0	0.007940298033558122E0	1.005518968900423E0	1.047001364522994E0	1.041254712149223E0	0.04807204690542262E0	0.04732442239336536E0
DNLZ	DNLZ	0.02582313988953055E0	0.04652357323064295E0	0.9985908937242345E0	-0.002034344276626289E0	-1.001411094658104E0	1.011229993097582E0	1.012656934338957E0	0.01392955963038783E0	0.01789373341562821E0
RAP1GAP2	RAP1GAP2	0.0258074848568539E0	0.04649951642629217E0	1.009116782866772E0	0.01309314403133326E0	1.009116782866772E0	1.278204649844272E0	1.266656814697954E0	0.1762454810155154E0	0.1794911210333179E0
LOC718510	.	0.02577158420249217E0	0.0464389738354837E0	1.000285620196662E0	4.120040057704135E-4	1.000285620196662E0	1.022144650808872E0	1.021852789014314E0	0.02471234642441719E0	0.02814623112230727E0
SLC25A19	SLC25A19	0.02574806433116162E0	0.0464007319201287E0	0.9983920175629561E0	-0.002321695411134384E0	-1.001610572208869E0	1.012955983060864E0	1.01458742181599E0	0.01653815928663443E0	0.02149593838909366E0
PELI3	PELI3	0.02573646607328672E0	0.04638396910397476E0	1.001446986026019E0	0.002086050684590519E0	1.001446986026019E0	1.004076950785494E0	1.002626164735801E0	0.004500990663548721E0	0.003983793213975646E0
LOC697792	.	0.02558445879299244E0	0.04611412624494568E0	0.9997864201265747E0	-3.081635341602436E-4	-1.000213625499532E0	1.000323999551311E0	1.000537694265409E0	1.396751825619084E-4	0.001024499123876023E0
KMT5C	KMT5C	0.02557224488063082E0	0.0460962250869238E0	0.9995993291791525E0	-5.781616402513291E-4	-1.000400831422303E0	1.013731485009866E0	1.014137820442835E0	0.01701458197177885E0	0.02017431681475101E0
TEKT5	TEKT5	0.02556594115732678E0	0.04608897532092881E0	1.000837837684008E0	0.001208238188694439E0	1.000837837684008E0	1.00278114580363E0	1.001941681305853E0	0.003052136859317349E0	0.003121600203207313E0
RABGGTA	RABGGTA	0.02551572408400782E0	0.04600255244566545E0	0.997812021342429E0	-0.003160044275606008E0	-1.002192776405547E0	1.015824369172723E0	1.018051844881624E0	0.01958790789560324E0	0.02561714847601917E0
LOC100425072	.	0.025493592318372E0	0.04596675394094606E0	0.9993468112641328E0	-9.426600509905063E-4	-1.000653615670261E0	1.000630559371825E0	1.001284587185572E0	0.00114822814485815E0	0.004190311255791303E0
LOC114671088	.	0.02546054397188312E0	0.04591126391787298E0	1.000223944901032E0	3.230480270225364E-4	1.000223944901032E0	1.000698583828613E0	1.000474532658411E0	8.689529247387996E-4	8.643966808780467E-4
LOC106993011	.	0.02544305537968826E0	0.04588382433561995E0	0.9992442644542421E0	-0.001090708119467962E0	-1.000756307113927E0	1.000186037299368E0	1.000942485114628E0	4.318739149729045E-4	0.001408579708737282E0
LOC718462	.	0.02542204673190196E0	0.04585003124305347E0	1.00081593001096E0	0.001176658210403212E0	1.00081593001096E0	1.014064173191878E0	1.013237442354433E0	0.01758720005968828E0	0.01919573127939437E0
CRYBB3	CRYBB3	0.02540720824790566E0	0.04582736133159479E0	1.00262349045329E0	0.00377994051303461E0	1.00262349045329E0	1.013651241758073E0	1.010998895806637E0	0.01717509091759555E0	0.01605241253836926E0
LOC114673760	.	0.02540026579301313E0	0.04581893082855042E0	0.997991239324315E0	-0.002900943692401544E0	-1.002012803917042E0	1.005815951195682E0	1.007840461482072E0	0.006826213455502538E0	0.01056756113607741E0
LAG3	LAG3	0.0253763407425358E0	0.04577986158607878E0	1.008153363706525E0	0.01171512319181353E0	1.008153363706525E0	1.029912630342256E0	1.021583290220579E0	0.03481087453391775E0	0.02833480140576402E0
LOC114679619	.	0.02536631513671683E0	0.0457658627183034E0	0.9982837465845218E0	-0.002478157473345304E0	-1.001719204005224E0	1.003180580396631E0	1.004905252468412E0	0.004209143627832656E0	0.00834740049509233E0
ZNF852	ZNF852	0.02533666155074932E0	0.04571644541736954E0	1.001256003894015E0	0.001810893582452009E0	1.001256003894015E0	1.017784591500833E0	1.016507853678316E0	0.02122690923791699E0	0.02285222750135025E0
LOC114676461	.	0.02527333019408386E0	0.04560624705263162E0	0.9972737644921817E0	-0.003938497526018101E0	-1.002733688185617E0	1.003572005833358E0	1.006315458769121E0	0.004221159772847412E0	0.009172128090704246E0
ZNF511	ZNF511	0.02521215126618702E0	0.04549991344482179E0	1.004085980809814E0	0.005882813887065411E0	1.004085980809814E0	1.020341006548452E0	1.016188878292602E0	0.02359879228427672E0	0.02128447040635448E0
KIF5C	KIF5C	0.02519613623167507E0	0.04547507457844455E0	1.007817359699864E0	0.01123421212203465E0	1.007817359699864E0	1.031491103488613E0	1.02349011312506E0	0.03154394745831927E0	0.02620603681883904E0
