Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Log2(Ratio) (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
RINT1	RINT1	3.089417610624419E-12	2.441316780101409E-11	0.9836965264442036E0	-0.02371478676335018E0	-1.016573682144359E0	1.129760278489572E0	1.14848456624458E0	0.1314140464074775E0	0.1674841573419524E0
FAM13B	FAM13B	3.06177305731123E-12	2.420418481861927E-11	0.9578865278714389E0	-0.06207333179974259E0	-1.043964990531961E0	1.833148292076754E0	1.91374263938159E0	0.5228505576542251E0	0.584276816376823E0
CHTOP	CHTOP	3.00504066075293E-12	2.376500049564905E-11	0.9827767753857036E0	-0.02506433001570327E0	-1.017525062705656E0	1.279798261681294E0	1.302226806467848E0	0.261691576147291E0	0.303742577060035E0
TMED2	TMED2	2.980060642698817E-12	2.357668032167282E-11	1.004905113330515E0	0.007059283503462494E0	1.004905113330515E0	1.15024182519481E0	1.144627298574102E0	0.1551567627924139E0	0.1709829518769277E0
RAB7A	RAB7A	2.918443264832134E-12	2.310527291959286E-11	0.9792378937260954E0	-0.03026870757479633E0	-1.021202310906191E0	2.069535961127627E0	2.113414906006999E0	0.5857517240277823E0	0.6357410695448471E0
PLEKHM1	PLEKHM1	2.919331443251856E-12	2.310527291959286E-11	0.9867268249607672E0	-0.01927736463704045E0	-1.013451722101262E0	1.289985936684032E0	1.307338469018841E0	0.2601369748853416E0	0.2992740029585649E0
FTH1	FTH1	2.912337038196698E-12	2.306799352843016E-11	1.026381389192828E0	0.0375669161845844E0	1.026381389192828E0	1.173098101359842E0	1.14294560843742E0	0.1762901213532508E0	0.1679713882233924E0
CDK5RAP1	CDK5RAP1	2.899347428808604E-12	2.297411509104597E-11	0.9954201940643751E0	-0.006622439657633697E0	-1.004600877059692E0	1.104866309710191E0	1.109949663768563E0	0.1085280694916382E0	0.1319211849522284E0
MAST3	MAST3	2.873035143124986E-12	2.277455408981101E-11	0.9759743331586652E0	-0.0350848875824152E0	-1.02461710930817E0	1.273266313961741E0	1.304610449990947E0	0.2427771538330675E0	0.2899847559334965E0
ERC1	ERC1	2.827738043720283E-12	2.242428465137898E-11	0.9615210377505087E0	-0.05660967130420488E0	-1.040018845910552E0	1.8863956906668E0	1.961887069137923E0	0.487690511344633E0	0.5440814302561864E0
YTHDF1	YTHDF1	2.812305943677995E-12	2.231066592710454E-11	0.9892526292024018E0	-0.01558910033788162E0	-1.010864131648822E0	1.131723221560756E0	1.144018411629821E0	0.1368010336532734E0	0.1673379036181483E0
ZKSCAN1	ZKSCAN1	2.807198917764703E-12	2.227890127348191E-11	0.9782399072709667E0	-0.03173977430536481E0	-1.022244126995124E0	1.132379991673732E0	1.15756879601526E0	0.1347440795116352E0	0.1756139490014036E0
ATL2	ATL2	2.800648601919443E-12	2.223565269715759E-11	0.9805423213970129E0	-0.02834819465664817E0	-1.019843792744473E0	1.236284213153545E0	1.260816780852629E0	0.2167132676117507E0	0.2585191801530516E0
DNAJC8	DNAJC8	2.791211706210108E-12	2.2169443193878E-11	1.004536475186204E0	0.006529949949617519E0	1.004536475186204E0	1.110693329748014E0	1.105677451425676E0	0.1143705816789118E0	0.1277398060366505E0
LOC705244	.	2.755240480212245E-12	2.189234745056134E-11	0.9761431196682394E0	-0.03483540724445108E0	-1.024439941081456E0	1.217615361675965E0	1.247373809375202E0	0.1983007759448135E0	0.2436187725123608E0
FAM222B	FAM222B	2.752686967255614E-12	2.188066562952731E-11	0.9824195431062204E0	-0.02558883460476959E0	-1.017895060228743E0	1.364988783641822E0	1.38941534013665E0	0.2938516272262358E0	0.3373571661812966E0
PTPRN	PTPRN	2.741251670101982E-12	2.179834694201568E-11	1.0002902628128E0	4.18699957006195E-4	1.0002902628128E0	1.000870694387942E0	1.000580263146329E0	6.959600442326482E-4	0.001364945201418915E0
CNOT7	CNOT7	2.727262859991699E-12	2.169564995908324E-11	1.007173569503006E0	0.01031232910755332E0	1.007173569503006E0	1.171145796015136E0	1.162804338276116E0	0.1704987119673675E0	0.1844887665438293E0
KAT2B	KAT2B	2.712274849159245E-12	2.158492017467235E-11	0.9978506647272561E0	-0.003104172489206981E0	-1.002153964865405E0	1.408344433342576E0	1.411377957770385E0	0.2980047638947697E0	0.3299506496384809E0
OSTM1	OSTM1	2.691069589388921E-12	2.142460526861546E-11	1.013385605991961E0	0.01918324225067754E0	1.013385605991961E0	1.161108050726708E0	1.14577120876919E0	0.1556587834302952E0	0.1628657722583464E0
TCF3	TCF3	2.668421039686557E-12	2.125266883264553E-11	0.9872158884539359E0	-0.01856248118483444E0	-1.012949661462687E0	1.166746690498905E0	1.181855665153576E0	0.169072644940377E0	0.204198737386867E0
GCLC	GCLC	2.639666263348779E-12	2.103194445251228E-11	0.9812941080002844E0	-0.02724249711613552E0	-1.019062472552531E0	1.145807594300366E0	1.167649520117198E0	0.1364316657476587E0	0.1738868408154129E0
MAMU-AG	.	2.63089550145425E-12	2.097033438767677E-11	1.025080803189033E0	0.0357376363311409E0	1.025080803189033E0	1.36228411305599E0	1.328952906754195E0	0.3520012965812103E0	0.3561739091448768E0
PDCD11	PDCD11	2.625566430936034E-12	2.093611953100909E-11	0.9834376448578076E0	-0.02409451397105756E0	-1.016841286510429E0	1.162259883619734E0	1.181833835319353E0	0.1552340782871603E0	0.193213910408353E0
MAN1C1	MAN1C1	2.623012917979399E-12	2.092401852975825E-11	0.9627900436922299E0	-0.05470687205097518E0	-1.038648048503984E0	1.557497585766214E0	1.617691828005745E0	0.3659007673985551E0	0.4225638811968844E0
BST1	BST1	2.620459405022738E-12	2.091190796627786E-11	0.9578245591891729E0	-0.0621666672836062E0	-1.044032532269302E0	1.122249656696789E0	1.171665150919503E0	0.1263204730816311E0	0.180013696866526E0
NUS1	NUS1	2.618127936671039E-12	2.090156049995322E-11	0.9812066458105443E0	-0.02737108944125116E0	-1.019153309111488E0	1.187751557903264E0	1.210500930639437E0	0.1717001571845447E0	0.211582307459727E0
TTC17	TTC17	2.611910687733152E-12	2.086017084651412E-11	0.9386587293610998E0	-0.09132736613493157E0	-1.06534991762198E0	2.449219015905948E0	2.609275276833588E0	0.6578122974048257E0	0.7229908466715079E0
BTBD9	BTBD9	2.58837395961107E-12	2.068037074217737E-11	0.9147667165834036E0	-0.1285242200577718E0	-1.093174884778206E0	2.580168525995429E0	2.820575431113407E0	0.6204749138155429E0	0.6922566069101642E0
KTN1	KTN1	2.58248977758057E-12	2.064152296302823E-11	1.003124863473119E0	0.004501195881877047E0	1.003124863473119E0	1.874371597740343E0	1.868532688194674E0	0.5333138758664848E0	0.5675885185057585E0
WNK1	WNK1	2.554845224267407E-12	2.042864760085237E-11	1.004816954559085E0	0.006932712546743933E0	1.004816954559085E0	4.604238367462028E0	4.5821662807057E0	0.8857975855746201E0	0.9188578793100519E0
HOOK3	HOOK3	2.549072064539374E-12	2.039055744933317E-11	0.9767078670716378E0	-0.0340009776781572E0	-1.02384759426398E0	1.923202153042043E0	1.969065897675403E0	0.5412582501272879E0	0.5928507705121098E0
POGZ	POGZ	2.538302901200477E-12	2.031245721016134E-11	0.9740738034936421E0	-0.03789700851357573E0	-1.026616254757463E0	1.629011119281468E0	1.672369294235004E0	0.4347954500074599E0	0.4868232250418784E0
USP12	USP12	2.51909604287448E-12	2.016674668013426E-11	1.001774175451924E0	0.002557326223667365E0	1.001774175451924E0	1.598301257866011E0	1.595470613070036E0	0.4169455658177901E0	0.4485746728000962E0
CDK12	CDK12	2.500444296060795E-12	2.002536633300394E-11	0.9970706284098575E0	-0.004232392021523804E0	-1.002937978019485E0	1.748261593591467E0	1.753397947725749E0	0.4950199751784382E0	0.5324390390568793E0
CFL1	CFL1	2.474243032679615E-12	1.982338785167111E-11	0.9940622356188883E0	-0.008591916934797121E0	-1.005973232025473E0	1.300465703138626E0	1.308233686524642E0	0.2737037178953654E0	0.3069911677785244E0
ELAVL1	ELAVL1	2.460587289476716E-12	1.972180240986139E-11	0.9850773372368783E0	-0.02169110161963413E0	-1.015148722033317E0	1.206336787075778E0	1.224611247741754E0	0.1951472915354685E0	0.232688051827699E0
FBXW8	FBXW8	2.459032977242278E-12	1.971716874725666E-11	0.9503085203475187E0	-0.07353213037436014E0	-1.052289839129622E0	1.459616151921429E0	1.535939245696399E0	0.3397254847649895E0	0.4030490543894044E0
SH3BGRL3	.	2.425615264201042E-12	1.945694086828143E-11	1.027915151308257E0	0.03972118297650939E0	1.027915151308257E0	1.150021946991185E0	1.11879073435927E0	0.1540062539947743E0	0.1441221034753891E0
TSC1	TSC1	2.421507439009929E-12	1.943794368390092E-11	0.9765884307335246E0	-0.03417740786246275E0	-1.023972810377132E0	1.18681729080578E0	1.215268636670569E0	0.1794540293264641E0	0.2238875693870716E0
USO1	USO1	2.422284595127172E-12	1.943794368390092E-11	0.9857571286347298E0	-0.02069585647409187E0	-1.01444866179664E0	1.313423248471854E0	1.332400456784869E0	0.2730886802129402E0	0.3134133501612438E0
CCDC69	CCDC69	2.383537811567744E-12	1.914222533520687E-11	0.9921003198295255E0	-0.01144208354656657E0	-1.007962582021778E0	1.569721599783713E0	1.582220636773347E0	0.4177337202477974E0	0.4560963263594545E0
PIBF1	PIBF1	2.37987407558649E-12	1.912040436702304E-11	0.965339986606559E0	-0.05089095498731978E0	-1.035904462546176E0	1.657508852158537E0	1.717020816660818E0	0.4182801006560749E0	0.4746715609190104E0
TMEM38B	TMEM38B	2.368549800735312E-12	1.903699517518975E-11	0.9572838587951181E0	-0.06298131129071419E0	-1.044622230712891E0	1.235009929621089E0	1.290118827633352E0	0.2064305344913531E0	0.2655710369923767E0
ARNT	ARNT	2.365219131661433E-12	1.901779300210893E-11	0.9901365938978149E0	-0.01430052954817453E0	-1.009961662020142E0	1.381236703025202E0	1.394996116230554E0	0.3120547492058259E0	0.3499302295118378E0
STAM2	STAM2	2.355227124439823E-12	1.894499301451037E-11	0.969116267088082E0	-0.04525833545026725E0	-1.031867933663641E0	1.194588073767559E0	1.23265712725776E0	0.1833794386181093E0	0.2333819458579473E0
PI4K2B	PI4K2B	2.343902849588639E-12	1.886141424541488E-11	0.9755166097046274E0	-0.03576165769171394E0	-1.025097871273341E0	1.241910832814637E0	1.273080151029586E0	0.2214931588289323E0	0.2668401925798597E0
IREB2	IREB2	2.312927627201587E-12	1.861957441778304E-11	0.9616848255489127E0	-0.05636394010132529E0	-1.039841716779942E0	1.418443928693776E0	1.474957169969021E0	0.3386830871304681E0	0.3981972698868284E0
HBS1L	HBS1L	2.310152069640014E-12	1.860464573468461E-11	0.9991165877550398E0	-0.001275057748638554E0	-1.000884193352195E0	2.017528933437781E0	2.019312819108587E0	0.5727395874922593E0	0.6103192980779123E0
CARD11	CARD11	2.295608148017443E-12	1.849489165283459E-11	0.9302163759421791E0	-0.104361756957096E0	-1.075018700877137E0	3.86833019185984E0	4.158527297416972E0	0.820835371554468E0	0.8756212682077708E0
RAB6A	RAB6A	2.293942813480497E-12	1.848884953977617E-11	0.9909354974425533E0	-0.01313694317526063E0	-1.009147419363663E0	1.380729544716437E0	1.393359656889758E0	0.3059524931546406E0	0.3427650621129235E0
GALC	GALC	2.285283073888415E-12	1.842640619816296E-11	0.9761053047766347E0	-0.03489129701330793E0	-1.0244796284852E0	1.194285992928097E0	1.223521670340055E0	0.1784134105858369E0	0.2223413616438758E0
TOP1MT	TOP1MT	2.274402888247086E-12	1.834600221118796E-11	0.9713852082026885E0	-0.04188457704034999E0	-1.029457718272503E0	1.15108536581773E0	1.18499371423159E0	0.1516695749686934E0	0.1986037174633839E0
SLC9B2	SLC9B2	2.271738352988001E-12	1.833183030509454E-11	0.9870213737956036E0	-0.01884676852884347E0	-1.013149285870565E0	1.060837961240422E0	1.07478722285512E0	0.06270295804141517E0	0.09074049050195229E0
DDB1	DDB1	2.267852572401813E-12	1.830778827233087E-11	0.9826832542356289E0	-0.0252016235729362E0	-1.017621899721738E0	1.259728854860666E0	1.2819276704176E0	0.2363022463464798E0	0.2777095508757234E0
PDPR	PDPR	2.256528297550639E-12	1.822365395998713E-11	0.9925852834243557E0	-0.01073703022623091E0	-1.007470105289153E0	1.207650104249285E0	1.216671377680484E0	0.1940163653477057E0	0.2252734699694065E0
CEP295	CEP295	2.244648911187123E-12	1.813496748326301E-11	0.9638158582421075E0	-0.05317055608480063E0	-1.037542588087198E0	1.457007819332849E0	1.511707663733889E0	0.3438308833312563E0	0.4011674795610241E0
MYO6	MYO6	2.228217610422692E-12	1.800941948592138E-11	0.9711497185955813E0	-0.04223436708564784E0	-1.029707346716982E0	1.456379777397313E0	1.499644956396057E0	0.3393719887108292E0	0.3913331260713417E0
RAB3GAP2	RAB3GAP2	2.221667294577404E-12	1.796366533862066E-11	0.9743149183208303E0	-0.0375399389377255E0	-1.026362196858728E0	1.663501544215555E0	1.707355099398965E0	0.4397324704202853E0	0.4916950992179311E0
PECAM1	PECAM1	2.219002759318279E-12	1.794930626059696E-11	0.9594983097664832E0	-0.05964782988792664E0	-1.042211320042215E0	3.116199085246946E0	3.24773796214956E0	0.7424436260914331E0	0.7947908246837276E0
BIRC3	BIRC3	2.208122573676977E-12	1.78684534227274E-11	0.9762844107351302E0	-0.03462660059866594E0	-1.024291680789015E0	1.323515329057155E0	1.35566574094998E0	0.2614761645246803E0	0.3091252316583027E0
TNPO3	TNPO3	2.168709656302781E-12	1.755655215952047E-11	0.9852134402422927E0	-0.02149178572827616E0	-1.015008483597291E0	1.559924318676129E0	1.583336417225995E0	0.4053880023047905E0	0.4488726969604438E0
SMN1	SMN1	2.143396571341339E-12	1.735859019565051E-11	0.9931518808476142E0	-0.009913731624979364E0	-1.006895339257215E0	1.195513743130374E0	1.203757215975921E0	0.1889796986717622E0	0.2188377113414066E0
TUBGCP3	TUBGCP3	2.133848653329557E-12	1.728819699155651E-11	0.9675657788001811E0	-0.04756835040245395E0	-1.0335214637707E0	1.453904576448174E0	1.502641586033636E0	0.3480955631657614E0	0.4032440612902669E0
PSMD1	PSMD1	2.12707629287932E-12	1.724024356483809E-11	0.9691487594475567E0	-0.04520996583595376E0	-1.031833338537243E0	1.297768664896815E0	1.339080974149501E0	0.2463036662536535E0	0.2981529662651965E0
COPS5	COPS5	2.122413356175915E-12	1.720935566761989E-11	1.0046849122966E0	0.006743116586978126E0	1.0046849122966E0	1.097835482246391E0	1.0927162026718E0	0.1028226305687593E0	0.1156098580166629E0
LEPROTL1	LEPROTL1	2.116085084935546E-12	1.716493435563379E-11	0.9983210773369824E0	-0.00242420899960772E0	-1.001681746184801E0	1.081521646486656E0	1.083340491389414E0	0.0854935268770327E0	0.1028296029859774E0
AHDC1	AHDC1	2.113864638886282E-12	1.715381196312781E-11	0.9766788611496762E0	-0.03404382295725015E0	-1.02387800102776E0	1.223449176391771E0	1.252662697083066E0	0.193640261264566E0	0.2378761698705881E0
FGF22	FGF22	2.106426144621286E-12	1.710031964190544E-11	1.000087522257644E0	1.262624017663663E-4	1.000087522257644E0	1.00030709521853E0	1.000219553745046E0	3.97515108103809E-4	0.001003107102325417E0
KCTD20	KCTD20	2.089328710042093E-12	1.696833988155617E-11	0.9867293169832787E0	-0.01927372105110747E0	-1.013449162590297E0	1.175343315963766E0	1.191150699319582E0	0.1703547872917094E0	0.2063907704279227E0
IST1	IST1	2.088107464714991E-12	1.69652431907938E-11	0.9879174356489631E0	-0.01753762003806826E0	-1.012230338199366E0	1.318426506351231E0	1.334551308414914E0	0.2858634456520561E0	0.3244322326412489E0
SELENOF	SELENOF	2.074229676907182E-12	1.685927203789588E-11	1.002379776351992E0	0.003429212778182219E0	1.002379776351992E0	1.219542328822197E0	1.216646981107834E0	0.2046870621932094E0	0.2264916729232436E0
PSME4	PSME4	2.074229676907182E-12	1.685927203789588E-11	0.9591641310838767E0	-0.06015038617169774E0	-1.042574432876236E0	2.189563433675612E0	2.282782855110894E0	0.6219307270970824E0	0.6818325318767322E0
MED15	MED15	2.050359881877754E-12	1.667868259934228E-11	0.9894250948610767E0	-0.01533760374690261E0	-1.010687928973955E0	1.408639689062601E0	1.423695130009195E0	0.3433919891775763E0	0.3823052069175495E0
NAT10	NAT10	2.041145030773351E-12	1.661041391279619E-11	1.002588168133664E0	0.003729113623867785E0	1.002588168133664E0	1.24696345338921E0	1.243744433679539E0	0.2259381938921088E0	0.2493133378101292E0
RFC1	RFC1	2.035593915650209E-12	1.65719169320044E-11	1.021524831902533E0	0.03072427448446291E0	1.021524831902533E0	1.451933551687795E0	1.421339458761516E0	0.354595846518864E0	0.3666779037979256E0
APOL5	APOL5	2.034594714928074E-12	1.65704613113376E-11	0.9722588941936303E0	-0.04058756743888264E0	-1.028532632585869E0	1.265576240186699E0	1.301686462057351E0	0.2407136024402279E0	0.2899663781930292E0
LOC696005	.	2.023381462379356E-12	1.648578409727238E-11	1.001382815066413E0	0.001993602364545215E0	1.001382815066413E0	1.393156882150889E0	1.391233064108947E0	0.3063159582091281E0	0.3371573802808812E0
GALT	.	2.019828748700525E-12	1.646347904207151E-11	0.9802797892775587E0	-0.02873451607460039E0	-1.020116920636479E0	1.171119794761547E0	1.194679118728575E0	0.1714535713770842E0	0.2128988569516709E0
SEC24A	SEC24A	1.995736909066181E-12	1.627367544986626E-11	0.9971225325333983E0	-0.004157292153449297E0	-1.002885771179286E0	1.177426272609195E0	1.180824055412425E0	0.1741323723537503E0	0.1992148911248428E0
SLC39A9	SLC39A9	1.989075570918439E-12	1.62259080700366E-11	0.9897794686644926E0	-0.01482097869086313E0	-1.010326069249848E0	1.230523191199974E0	1.243229658885849E0	0.2090877363673831E0	0.243596949166821E0
NF2	NF2	1.981526054350985E-12	1.617085383667927E-11	1.002389793073655E0	0.003443629472139528E0	1.002389793073655E0	1.368986420897327E0	1.365722626424165E0	0.2991496745564562E0	0.3258533832684463E0
AIMP1	AIMP1	1.972977337061374E-12	1.610759751575005E-11	1.000893625669303E0	0.001288653620255386E0	1.000893625669303E0	1.115778764376204E0	1.114782566059482E0	0.1187925265133196E0	0.1365465441764795E0
VPS8	VPS8	1.970312801802279E-12	1.609234855269003E-11	0.9771309631186144E0	-0.03337615789373893E0	-1.023404269995085E0	1.836671425895515E0	1.879657379839432E0	0.5044365717690688E0	0.5550500139525544E0
LOC106998919	.	1.948330385914711E-12	1.592015354497171E-11	0.9996614470196721E0	-4.885114039599507E-4	-1.000338667637266E0	1.000552913633106E0	1.000891768524326E0	0.001652634369592352E0	9.755056725138751E-4
PCGF3	PCGF3	1.948441408217153E-12	1.592015354497171E-11	0.9872097428968931E0	-0.01857146219128859E0	-1.012955967255322E0	1.124689363380788E0	1.139260801945158E0	0.1244368519254526E0	0.1566190209950161E0
ZNF44	ZNF44	1.944333583026043E-12	1.589945332387045E-11	0.9840170368309232E0	-0.02324480092984951E0	-1.016242567527642E0	1.12850106226032E0	1.146830816969099E0	0.1290816359488052E0	0.1637492013164504E0
PANK3	PANK3	1.90991666926267E-12	1.562797351139233E-11	0.9914590548448915E0	-0.01237490144682248E0	-1.008614521309148E0	1.2169267843581E0	1.227410026073626E0	0.2028698888524628E0	0.2346381513601332E0
ECD	ECD	1.910360758472506E-12	1.562797351139233E-11	1.018378283921922E0	0.02627356039649961E0	1.018378283921922E0	1.410620255535238E0	1.385163330567828E0	0.3259604983782867E0	0.3405562381526405E0
SEPTIN2	SEPTIN2	1.905586799466619E-12	1.560155742830432E-11	0.993758158141094E0	-0.009033295918591321E0	-1.006281047161999E0	1.284780085673265E0	1.292849849984176E0	0.253222029755195E0	0.2856794098347226E0
UBAP2	UBAP2	1.904254531837064E-12	1.559697203327048E-11	0.9810524279976414E0	-0.02759785794223007E0	-1.019313516241972E0	1.342554071180218E0	1.368483511039683E0	0.2796695501070999E0	0.3234239456161644E0
KLHL3	KLHL3	1.896593992967154E-12	1.554052960241403E-11	0.9739336445552421E0	-0.03810461203779987E0	-1.026763995258282E0	1.150905966643019E0	1.181708808476981E0	0.1343613127556798E0	0.1782420881087078E0
LOC107000778	.	1.881828026739642E-12	1.542579646269776E-11	1.000245141381132E0	3.536209130869059E-4	1.000245141381132E0	1.000316945908811E0	1.000071786929732E0	6.251106902721149E-4	1.85849533561158E-4
ERI3	ERI3	1.850630759747673E-12	1.517622415159704E-11	0.9628545745374625E0	-0.0546101788921701E0	-1.03857843795402E0	1.47365984922252E0	1.530511344281081E0	0.3422969446919686E0	0.3995682754280304E0
GRAMD4	GRAMD4	1.843303287785153E-12	1.512227449499778E-11	1.001969664598185E0	0.002838830492941752E0	1.001969664598185E0	1.266041786502239E0	1.2635530108688E0	0.2368419086368117E0	0.2615561002189851E0
RIOK3	RIOK3	1.836086838125083E-12	1.506919218059749E-11	0.9837597232868805E0	-0.02362210488381794E0	-1.016508377329028E0	1.201189973169324E0	1.221019670490248E0	0.1919662394609718E0	0.2303734410506819E0
