Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
LOC704951	.	0.0E0	0.0E0	1.000085145255371E0	1.000085145255371E0	1.00022530519708E0	1.000140148008771E0	3.724197476731655E-4	5.644943504199716E-4
LOC106994254	.	0.0E0	0.0E0	1.000122969050954E0	1.000122969050954E0	1.000143551892703E0	1.000020580311008E0	4.084783578393774E-4	2.328531261734103E-4
LOC106994412	.	0.0E0	0.0E0	1.000114331934321E0	1.000114331934321E0	1.000253206108693E0	1.000138858298435E0	4.766096983824098E-4	3.571767865948323E-4
LOC106994418	.	0.0E0	0.0E0	0.9999923432665202E0	-1.000007656792106E0	1.000175231394602E0	1.000182889528418E0	2.228822087332935E-4	5.217223863964421E-4
LOC106994756	.	0.0E0	0.0E0	1.029345688630633E0	1.029345688630633E0	1.37768524422896E0	1.338408718709195E0	0.3168370915782221E0	0.3229803400473792E0
LOC704917	.	0.0E0	0.0E0	0.9995479564493659E0	-1.00045224798642E0	1.000298061579739E0	1.000750444363908E0	4.579674845799419E-4	0.00121127632051924E0
LOC106995551	.	0.0E0	0.0E0	0.983144674393167E0	-1.017144298337614E0	1.269807752558881E0	1.291577715500166E0	0.2519740627257498E0	0.297325284937286E0
LOC705178	.	0.0E0	0.0E0	1.000426333865005E0	1.000426333865005E0	1.000715190996285E0	1.000288734034184E0	0.001191446976879469E0	0.001007675620847532E0
LOC106995727	.	0.0E0	0.0E0	0.9739819975624721E0	-1.026713021906608E0	1.141148038533617E0	1.171631551085648E0	0.1526242476922506E0	0.2028678276217869E0
LOC704104	.	0.0E0	0.0E0	1.045816395881298E0	1.045816395881298E0	1.650800833203616E0	1.578480543721543E0	0.4635938387483833E0	0.4654344344542203E0
LOC106997002	.	0.0E0	0.0E0	1.00095322841609E0	1.00095322841609E0	1.000778803478988E0	0.9998257411713655E0	9.252318622426096E-4	8.118215007068798E-4
LOC106997062	.	0.0E0	0.0E0	1.000109021187086E0	1.000109021187086E0	1.000235072203976E0	1.000126037276156E0	5.360603109120355E-4	2.509252317208873E-4
BCL9L	BCL9L	0.0E0	0.0E0	0.9629143699623571E0	-1.038513943912887E0	1.574431350078476E0	1.635068910790089E0	0.4139844583337134E0	0.4796811640911428E0
ATP11B	ATP11B	0.0E0	0.0E0	0.9575268841105599E0	-1.044357100144392E0	2.233695923770989E0	2.33277619755382E0	0.633667904314605E0	0.6994705447302063E0
LOC106997133	.	0.0E0	0.0E0	0.9388726659492593E0	-1.065107161245276E0	1.29019326386051E0	1.374194084728245E0	0.2001631541197865E0	0.2673932325610439E0
TSPYL2	TSPYL2	0.0E0	0.0E0	1.043435677986542E0	1.043435677986542E0	1.560607339311385E0	1.495643068600835E0	0.398928332122518E0	0.4021193357599163E0
ZNF507	ZNF507	0.0E0	0.0E0	0.9569072626278183E0	-1.045033347592997E0	1.263091051825515E0	1.319972270203978E0	0.2323385297959106E0	0.29696324182729E0
LOC106999385	.	0.0E0	0.0E0	1.000303549983991E0	1.000303549983991E0	1.000438790882564E0	1.000135199858658E0	7.701966814547857E-4	8.612628358554067E-5
LOC106999490	.	0.0E0	0.0E0	0.999800087125953E0	-1.000199952847195E0	1.000217608477256E0	1.000417604835886E0	5.609634230347329E-4	6.666420292136629E-4
LOC106999939	.	0.0E0	0.0E0	0.8464434685614795E0	-1.181413806287014E0	2.657106509945533E0	3.139142315624756E0	0.6669071466169724E0	0.7714287797872298E0
ATP6V1E2	ATP6V1E2	0.0E0	0.0E0	1.000208906042099E0	1.000208906042099E0	1.000233598188971E0	1.000024686989611E0	6.267336660547695E-4	1.504887237682685E-4
LOC106996415	.	0.0E0	0.0E0	1.085385490801985E0	1.085385490801985E0	1.538613291213742E0	1.417573115038482E0	0.3966432988830961E0	0.3590512280273073E0
