Gene ID	Gene name	P-value (After vs Before)	FDR step up (After vs Before)	Ratio (After vs Before)	Fold change (After vs Before)	LSMean(After) (After vs Before)	LSMean(Before) (After vs Before)	Pct(After) (After vs Before)	Pct(Before) (After vs Before)
JKAMP	JKAMP	0.0E0	0.0E0	0.9920447828530617E0	-1.008019010113696E0	1.077874107964149E0	1.086517591337205E0	0.08284696498904785E0	0.1027950515412363E0
TTC13	TTC13	0.0E0	0.0E0	0.963975904088073E0	-1.037370328199237E0	2.337401425554803E0	2.42475088396115E0	0.6303581475093876E0	0.6893914158632759E0
TTC14	TTC14	0.0E0	0.0E0	0.9583774304967465E0	-1.04343024802001E0	1.462454717824333E0	1.525969488937477E0	0.3642611048159844E0	0.4320920386207618E0
TTC17	TTC17	0.0E0	0.0E0	0.9400390713289101E0	-1.063785570727741E0	2.453647227643376E0	2.610154516423148E0	0.6508880726107464E0	0.7212773383100339E0
JAZF1	JAZF1	0.0E0	0.0E0	0.9815364276682929E0	-1.018810888532755E0	2.85419154149724E0	2.907881420435478E0	0.6377752210598471E0	0.6722694501861519E0
JARID2	JARID2	0.0E0	0.0E0	0.9565286447886374E0	-1.045446997795835E0	2.510509694964977E0	2.624604823538473E0	0.640407522426429E0	0.6967698646088829E0
LRRC58	LRRC58	0.0E0	0.0E0	0.9919995055447519E0	-1.008065018591773E0	1.161928263216004E0	1.171299236261148E0	0.1610694900533217E0	0.1892503059528161E0
JMJD7	.	0.0E0	0.0E0	0.9907075358129626E0	-1.009379624007212E0	1.103280256294959E0	1.113628610273586E0	0.1180157222025703E0	0.142350395651551E0
JAM3	JAM3	0.0E0	0.0E0	0.9977556122944476E0	-1.002249436312757E0	1.025541987490092E0	1.027848878877009E0	0.03681757211341509E0	0.04697579446224777E0
TTC7A	TTC7A	0.0E0	0.0E0	0.9555226226923962E0	-1.046547696780092E0	1.877195975515094E0	1.964575124580179E0	0.5056602764703062E0	0.5685849712940112E0
KANSL1	KANSL1	0.0E0	0.0E0	0.9469412930929999E0	-1.056031675135524E0	3.996916867973887E0	4.220870815463896E0	0.8444055430345225E0	0.8930734063365457E0
TTC1	TTC1	0.0E0	0.0E0	0.9986455992046652E0	-1.001356237684734E0	1.17485819376653E0	1.176451580723134E0	0.1684025513428581E0	0.192303302081323E0
RC3H2	RC3H2	0.0E0	0.0E0	0.9865765660148955E0	-1.01360607422425E0	1.334722846851839E0	1.352883184974908E0	0.2861674302501843E0	0.3284808210157078E0
TTC3	TTC3	0.0E0	0.0E0	0.9887260398417336E0	-1.011402511619974E0	1.299459861446721E0	1.314276967616558E0	0.2380802593847148E0	0.2741358224129556E0
RC3H1	RC3H1	0.0E0	0.0E0	0.9799260298125034E0	-1.02048518926611E0	1.59437328658691E0	1.627034325123472E0	0.429804051063744E0	0.4836978783836222E0
RBX1	RBX1	0.0E0	0.0E0	0.9863508456735587E0	-1.013838031757473E0	1.102177382793086E0	1.117429348418545E0	0.1113468472363366E0	0.140321932995069E0
KBTBD2	KBTBD2	0.0E0	0.0E0	0.9931424550454974E0	-1.006904895586392E0	1.159503065717446E0	1.167509313318327E0	0.1649838048557453E0	0.1888664214213677E0
RBSN	RBSN	0.0E0	0.0E0	0.9840775467600886E0	-1.016180079804009E0	1.157290682783553E0	1.176015738387426E0	0.1600090785188967E0	0.193117393454239E0
TTC4	TTC4	0.0E0	0.0E0	0.9929509437583962E0	-1.007099098183967E0	1.046073167718054E0	1.053499343843298E0	0.05052284463023356E0	0.0668726567564791E0
KATNBL1	KATNBL1	0.0E0	0.0E0	0.9910047307123804E0	-1.009076918614862E0	1.299789144990051E0	1.311587225275607E0	0.2511974587079049E0	0.2844267728967524E0
RBPJ	RBPJ	0.0E0	0.0E0	0.9871723645542703E0	-1.012994321869537E0	1.681747185883665E0	1.703600350120225E0	0.43349572849368E0	0.4762178914292333E0
RBMXL1	RBMXL1	0.0E0	0.0E0	0.9988643274638048E0	-1.001136963754706E0	1.037963280163967E0	1.039143406792229E0	0.04257003119011562E0	0.05156761582115891E0
LRRC28	LRRC28	0.0E0	0.0E0	0.9847640886457247E0	-1.015471635826229E0	1.155868527050804E0	1.173751703964334E0	0.1399855477759989E0	0.1692751600293643E0
KATNA1	KATNA1	0.0E0	0.0E0	0.9951319705054197E0	-1.004891843131226E0	1.150373199921836E0	1.15600064515822E0	0.1516915660737611E0	0.1735455880565527E0
KAT7	KAT7	0.0E0	0.0E0	0.9883413888591802E0	-1.011796137723502E0	1.630454897568204E0	1.649687968091876E0	0.4430977885909994E0	0.4920638971601529E0
KAT6B	KAT6B	0.0E0	0.0E0	0.9747086568826427E0	-1.025947592584481E0	2.334253381450959E0	2.394821637181795E0	0.6143305859681826E0	0.6668573513538153E0
KAT6A	KAT6A	0.0E0	0.0E0	0.9371864948550648E0	-1.067023485175861E0	3.717987516834428E0	3.967179998053015E0	0.823430651225335E0	0.8793716638911054E0
KAT5	KAT5	0.0E0	0.0E0	0.9919628224640877E0	-1.008102297136447E0	1.056840807857334E0	1.065403646108516E0	0.06643238279348693E0	0.08548378563700254E0
